style,normal_count,attack_count,hard_negative_count,hard_positive_count,length_bin_distribution,source_detail_distribution,source_family_distribution,attack_type_distribution,pair_coverage,label_balance_ratio,boundary_pair_count,coverage_status
rag_document,18556,18857,6475,18857,"{""500_599"": 6056, ""600_699"": 6032, ""300_399"": 6017, ""400_499"": 6011, ""200_299"": 5459, ""100_199"": 4376, ""20_99"": 3462}","{""llm_v3_tool_boundary_pair"": 3563, ""llm_v3_translation_boundary_pair"": 3552, ""llm_v3_privacy_context_pair"": 3548, ""llm_v3_business_workflow_pair"": 3548, ""llm_v3_sns_safety_pair"": 3528, ""llm_v3_rag_boundary_pair"": 3526, ""llm_v3_jailbreak_boundary_pair"": 3525, ""llm_v3_external_document_pair"": 3523}","{""llm_generated_pool"": 36578, ""spml_papago_family"": 573, ""external_attack_pool"": 137, ""normal_evol_writing_source"": 60, ""injection_guardrail_family"": 33, ""normal_instruction_source"": 25, ""normal_realqa_source"": 7}","{""prompt_injection"": 18742, ""none"": 18463, ""safe_risky_prompt_counterfactual"": 62, ""jailbreak"": 11, ""direct_injection"": 3, ""policy_evasion"": 3, ""unsafe_harmful_request"": 2, ""rag_poisoning"": 1}",37413,0.984,37413,overconcentrated
email_instruction,5,15,0,15,"{""200_299"": 8, ""100_199"": 4, ""20_99"": 3, ""300_399"": 2, ""400_499"": 2, ""500_599"": 1}","{""CarrotAI/ko-instruction-dataset"": 4, ""reshabhs__SPML_Chatbot_Prompt_Injection"": 3, ""WildGuardMix"": 3, ""neuralchemy__Prompt-injection-dataset"": 2, ""Evolve-instruct"": 2, ""injection_guardrail"": 2, ""ALERT"": 1, ""synthetic_broad_hard_negative/security_response_education"": 1}","{""external_attack_pool"": 8, ""spml_papago_family"": 5, ""normal_instruction_source"": 4, ""injection_guardrail_family"": 2, ""normal_realqa_source"": 1}","{""jailbreak"": 5, ""prompt_injection"": 3, ""safe_risky_prompt_counterfactual"": 3, ""indirect_injection"": 1, ""rag_poisoning"": 1}",20,0.3333,20,weak
tool_api,7048,3575,1471,3575,"{""100_199"": 1622, ""400_499"": 1523, ""600_699"": 1515, ""500_599"": 1512, ""300_399"": 1510, ""200_299"": 1502, ""20_99"": 1439}","{""llm_v3_business_workflow_pair"": 1653, ""llm_v3_external_document_pair"": 1645, ""llm_v3_tool_boundary_pair"": 1642, ""llm_v3_code_context_pair"": 1642, ""llm_v3_short_instruction_pair"": 1632, ""llm_v3_rag_boundary_pair"": 423, ""llm_v3_privacy_context_pair"": 418, ""llm_v3_sns_safety_pair"": 417}","{""llm_generated_pool"": 10426, ""spml_papago_family"": 101, ""normal_instruction_source"": 44, ""injection_guardrail_family"": 22, ""external_attack_pool"": 18, ""normal_evol_writing_source"": 9, ""normal_realqa_source"": 3}","{""none"": 6992, ""prompt_injection"": 3543, ""jailbreak"": 10}",10623,0.5072,10623,sufficient
customer_support,1747,6807,3,6807,"{""600_699"": 1273, ""300_399"": 1265, ""500_599"": 1263, ""100_199"": 1251, ""200_299"": 1247, ""20_99"": 1241, ""400_499"": 1014}","{""llm_v3_translation_boundary_pair"": 1099, ""llm_v3_sns_safety_pair"": 1097, ""llm_v3_privacy_context_pair"": 1093, ""llm_v3_rag_boundary_pair"": 1092, ""llm_v3_jailbreak_boundary_pair"": 1091, ""llm_v3_tool_boundary_pair"": 544, ""llm_v3_business_workflow_pair"": 543, ""llm_v3_external_document_pair"": 536}","{""llm_generated_pool"": 8157, ""spml_papago_family"": 202, ""external_attack_pool"": 122, ""injection_guardrail_family"": 47, ""normal_evol_writing_source"": 11, ""normal_instruction_source"": 9, ""normal_realqa_source"": 6}","{""prompt_injection"": 6662, ""none"": 1721, ""safe_risky_prompt_counterfactual"": 79, ""jailbreak"": 11, ""unsafe_harmful_request"": 4, ""policy_evasion"": 3, ""indirect_injection"": 1}",8554,0.2566,8554,sufficient
meeting_report,1912,1868,1734,1868,"{""100_199"": 557, ""500_599"": 554, ""600_699"": 544, ""400_499"": 542, ""200_299"": 542, ""300_399"": 538, ""20_99"": 503}","{""llm_v3_sns_safety_pair"": 541, ""llm_v3_translation_boundary_pair"": 541, ""llm_v3_rag_boundary_pair"": 536, ""llm_v3_privacy_context_pair"": 535, ""llm_v3_jailbreak_boundary_pair"": 531, ""llm_v3_business_workflow_pair"": 146, ""llm_v3_external_document_pair"": 145, ""llm_v3_code_context_pair"": 144}","{""llm_generated_pool"": 3404, ""normal_instruction_source"": 87, ""normal_evol_writing_source"": 82, ""external_attack_pool"": 76, ""injection_guardrail_family"": 59, ""spml_papago_family"": 56, ""normal_realqa_source"": 16}","{""prompt_injection"": 1775, ""none"": 1727, ""jailbreak"": 20, ""safe_risky_prompt_counterfactual"": 8, ""policy_evasion"": 3, ""unsafe_harmful_request"": 2, ""indirect_injection"": 1}",3780,0.977,3780,sufficient
code_block,138,168,5,168,"{""200_299"": 68, ""100_199"": 59, ""300_399"": 50, ""400_499"": 41, ""20_99"": 33, ""500_599"": 32, ""600_699"": 23}","{""CarrotAI/ko-instruction-dataset"": 119, ""injection_guardrail"": 91, ""Evolve-instruct"": 30, ""jayavibhav-PI"": 25, ""iknow-lab/ko-evol-writing-wiki"": 13, ""neuralchemy__Prompt-injection-dataset"": 6, ""normal_koalpaca_realqa"": 5, ""JailBreakV-28k"": 5}","{""normal_instruction_source"": 119, ""injection_guardrail_family"": 91, ""external_attack_pool"": 69, ""normal_evol_writing_source"": 13, ""spml_papago_family"": 8, ""normal_realqa_source"": 6}","{""safe_risky_prompt_counterfactual"": 34, ""prompt_injection"": 28, ""jailbreak"": 9, ""direct_injection"": 5, ""adversarial"": 1}",306,0.8214,306,sufficient
translation_hidden_instruction,20,74,0,74,"{""20_99"": 25, ""500_599"": 18, ""100_199"": 15, ""200_299"": 11, ""600_699"": 10, ""300_399"": 8, ""400_499"": 7}","{""neuralchemy__Prompt-injection-dataset"": 22, ""CarrotAI/ko-instruction-dataset"": 12, ""synthetic_broad_hard_positive/multi_intent_injection"": 11, ""synthetic_broad_hard_positive/subtle_indirect_injection"": 9, ""RedBench"": 7, ""synthetic_broad_hard_positive/short_unsafe_request"": 6, ""normal_koalpaca_realqa"": 6, ""synthetic_broad_hard_positive/weak_signal_instruction_leak"": 6}","{""external_attack_pool"": 51, ""spml_papago_family"": 23, ""normal_instruction_source"": 12, ""normal_realqa_source"": 7, ""normal_evol_writing_source"": 1}","{""prompt_injection"": 29, ""direct_injection"": 21, ""jailbreak"": 13, ""unsafe_harmful_request"": 6, ""policy_evasion"": 3, ""control"": 1, ""safe_risky_prompt_counterfactual"": 1}",94,0.2703,94,sufficient
sns_rewrite,2,1,2,1,"{""20_99"": 3}","{""normal_koalpaca_realqa"": 2, ""synthetic_direct_byClaude_console"": 1}","{""normal_realqa_source"": 2, ""external_attack_pool"": 1}","{""safe_risky_prompt_counterfactual"": 1}",3,0.5,3,weak
privacy_safe_summary,18290,14043,6854,14043,"{""500_599"": 6026, ""600_699"": 6007, ""300_399"": 5997, ""400_499"": 5993, ""200_299"": 4409, ""100_199"": 2530, ""20_99"": 1371}","{""llm_v3_tool_boundary_pair"": 3254, ""llm_v3_business_workflow_pair"": 3239, ""llm_v3_code_context_pair"": 3196, ""llm_v3_external_document_pair"": 3192, ""llm_v3_short_instruction_pair"": 3191, ""llm_v3_privacy_context_pair"": 3048, ""llm_v3_translation_boundary_pair"": 3047, ""llm_v3_sns_safety_pair"": 3026}","{""llm_generated_pool"": 31734, ""spml_papago_family"": 441, ""external_attack_pool"": 65, ""injection_guardrail_family"": 59, ""normal_instruction_source"": 25, ""normal_realqa_source"": 5, ""normal_evol_writing_source"": 4}","{""none"": 18255, ""prompt_injection"": 13951, ""jailbreak"": 26, ""safe_risky_prompt_counterfactual"": 7}",32333,0.7678,32333,overconcentrated
ignore_external_instruction,4705,20734,1885,20734,"{""100_199"": 4347, ""300_399"": 3700, ""500_599"": 3670, ""600_699"": 3644, ""200_299"": 3634, ""400_499"": 3626, ""20_99"": 2818}","{""llm_v3_translation_boundary_pair"": 2347, ""llm_v3_privacy_context_pair"": 2330, ""llm_v3_jailbreak_boundary_pair"": 2317, ""llm_v3_sns_safety_pair"": 2315, ""llm_v3_rag_boundary_pair"": 2313, ""llm_v3_tool_boundary_pair"": 2246, ""llm_v3_business_workflow_pair"": 2238, ""llm_v3_external_document_pair"": 2230}","{""llm_generated_pool"": 24019, ""external_attack_pool"": 637, ""spml_papago_family"": 622, ""injection_guardrail_family"": 116, ""normal_evol_writing_source"": 25, ""normal_instruction_source"": 17, ""normal_realqa_source"": 3}","{""prompt_injection"": 20131, ""none"": 4659, ""safe_risky_prompt_counterfactual"": 348, ""jailbreak"": 81, ""policy_evasion"": 23, ""direct_injection"": 21, ""unsafe_harmful_request"": 14}",25439,0.2269,25439,overconcentrated
