label_name,style_family,count
normal,business_task,4635
normal,code_block,1
normal,code_explanation,303
normal,customer_support,1
normal,email_document_summary,68
normal,email_instruction,1
normal,external_content_rag,3472
normal,general_instruction,4492
normal,html_markdown_json,1
normal,ko_en_mixed,1
normal,meeting_report,1
normal,memory_poisoning,1
normal,multiturn_context,1
normal,normal_like_subtle_attack,36
normal,privacy_safe_summary,3671
normal,rag_document,2
normal,report_writing,21
normal,roleplay_instruction,36
normal,short_general_question,4728
normal,sns_rewrite,1
normal,tool_api,1
normal,tool_api_instruction,3505
normal,translation_hidden_instruction,1
normal,translation_request,20
risky_prompt,business_task,48
risky_prompt,code_block,1
risky_prompt,context_extraction,139
risky_prompt,customer_support,1
risky_prompt,email_instruction,2
risky_prompt,external_content_rag,3400
risky_prompt,general_instruction,48
risky_prompt,html_markdown_json,1
risky_prompt,jailbreak_instruction,6873
risky_prompt,ko_en_mixed,1
risky_prompt,meeting_report,1
risky_prompt,memory_poisoning,1
risky_prompt,multiturn_context,1
risky_prompt,normal_like_subtle_attack,4039
risky_prompt,obfuscated_attack,3460
risky_prompt,privacy_safe_summary,48
risky_prompt,rag_document,1
risky_prompt,roleplay_instruction,3555
risky_prompt,short_general_question,36
risky_prompt,sns_rewrite,1
risky_prompt,tool_api,2
risky_prompt,tool_api_instruction,3340
risky_prompt,translation_hidden_instruction,1
