source_detail,label_name,length_bin,planned_rows
llm_v8_code_block_boundary_pair,normal,20_99,1
llm_v8_code_block_boundary_pair,risky_prompt,100_199,1
llm_v8_customer_support_boundary_pair,normal,20_99,1
llm_v8_customer_support_boundary_pair,risky_prompt,100_199,1
llm_v8_email_instruction_boundary_pair,normal,20_99,1
llm_v8_email_instruction_boundary_pair,risky_prompt,100_199,1
llm_v8_html_markdown_json_boundary_pair,normal,20_99,1
llm_v8_html_markdown_json_boundary_pair,risky_prompt,100_199,1
llm_v8_ko_en_mixed_boundary_pair,normal,100_199,1
llm_v8_ko_en_mixed_boundary_pair,risky_prompt,100_199,1
llm_v8_meeting_report_boundary_pair,normal,20_99,1
llm_v8_meeting_report_boundary_pair,risky_prompt,100_199,1
llm_v8_memory_poisoning_boundary_pair,normal,20_99,1
llm_v8_memory_poisoning_boundary_pair,risky_prompt,100_199,1
llm_v8_multiturn_context_boundary_pair,normal,20_99,1
llm_v8_multiturn_context_boundary_pair,risky_prompt,100_199,1
llm_v8_rag_document_boundary_pair,normal,20_99,1
llm_v8_rag_document_boundary_pair,risky_prompt,100_199,1
llm_v8_sns_rewrite_boundary_pair,normal,20_99,1
llm_v8_sns_rewrite_boundary_pair,risky_prompt,100_199,1
llm_v8_tool_api_boundary_pair,normal,20_99,1
llm_v8_tool_api_boundary_pair,risky_prompt,100_199,1
llm_v8_translation_hidden_instruction_pair,normal,20_99,1
llm_v8_translation_hidden_instruction_pair,risky_prompt,100_199,1
