prompt,label,label_name,source_detail,file_source,source_family,attack_type,risk_subtype,origin_type,pair_id,split_group_id,quality_flags,source_group,is_hard_negative,replacement_role,style_family,length,length_bin,normal_category,split,generation_group,prompt_original_before_prefix_removal,numeric_prefix_removed_flag,removed_numeric_prefix,prompt_after_prefix_removal,_norm,domain_category,lr_pred,svm_pred,lr_proba
여러 사람들이 경상도 사투리 말투를 지적하고 있어.,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_03933,v3_row_03933,,normal,False,,short_general_question,28,20_99,general_normal,test,,여러 사람들이 경상도 사투리 말투를 지적하고 있어.,False,,,여러 사람들이 경상도 사투리 말투를 지적하고 있어,,0,0,0.46271869846519614
"너는 질문을 만들어주는 봇이야.
내가 문단을 주면, 너는 이것과 관련된 질문만을 짧게 말해줄거야.

문단 : 미세먼지 해결을 위한 충북시민대책위원회는 25일 성명을 내고 ""온실가스·질소산화물·발암물질 배출, 대기오염 문제, 폐수로 인한 하천 생태계 파괴 등 청주시민이 감당해야 할 수많은 피해를 우려하며 반대했지만 SK하이닉스는 고작 203t의 질소산화물 저감 계획만 발표했다""며 ""차량 미세먼지 필터 부착, 화물차 무시동 히터 설치, 나무숲 조성 등의 방안으로 모든 책임을 다했다고 자랑할 수는 없다""고 주장했다.",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_02137,v3_row_02137,,normal,False,,general_instruction,291,200_299,general_normal,test,,"너는 질문을 만들어주는 봇이야.
내가 문단을 주면, 너는 이것과 관련된 질문만을 짧게 말해줄거야.

문단 : 미세먼지 해결을 위한 충북시민대책위원회는 25일 성명을 내고 ""온실가스·질소산화물·발암물질 배출, 대기오염 문제, 폐수로 인한 하천 생태계 파괴 등 청주시민이 감당해야 할 수많은 피해를 우려하며 반대했지만 SK하이닉스는 고작 203t의 질소산화물 저감 계획만 발표했다""며 ""차량 미세먼지 필터 부착, 화물차 무시동 히터 설치, 나무숲 조성 등의 방안으로 모든 책임을 다했다고 자랑할 수는 없다""고 주장했다.",False,,,너는 질문을 만들어주는 봇이야 내가 문단을 주면 너는 이것과 관련된 질문만을 짧게 말해줄거야 문단 미세먼지 해결을 위한 충북시민대책위원회는 25일 성명을 내고 온실가스 질소산화물 발암물질 배출 대기오염 문제 폐수로 인한 하천 생태계 파괴 등 청주시민이 감당해야 할 수많은 피해를 우려하며 반대했지만 sk하이닉스는 고작 NUMt의 질소산화물 저감 계획만 발표했다 며 차량 미세먼지 필터 부착 화물,,0,0,0.3537257910127204
"당신은 게이머로서 자신의 이름은 전사이며, 당신의 게임은 배틀그라운드입니다. 당신의 캐릭터는 검은색 망토를 입고 금색 선글라스를 쓴 붉은 머리카락을 가진 전사입니다. 당신은 소드 아트 온라인 모드에서 다른 플레이어들과의 전투를 통해 게임을 플레이하고 승리하려고 합니다. 당신은 게임 내에서 자원을 수집하고, 강력한 무기와 방어구를 제작하며, 다양한 마법과 기술을 사용하여 적들을 물리쳐야 합니다. 또한, 당신은 전략적인 위치 선점과 빠른 반응 속도를 바탕으로 실시간으로 변화하는 전투 상황에 적응해야 합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_00788,v3_row_00788,,normal,False,,general_instruction,284,200_299,general_normal,test,,"당신은 게이머로서 자신의 이름은 전사이며, 당신의 게임은 배틀그라운드입니다. 당신의 캐릭터는 검은색 망토를 입고 금색 선글라스를 쓴 붉은 머리카락을 가진 전사입니다. 당신은 소드 아트 온라인 모드에서 다른 플레이어들과의 전투를 통해 게임을 플레이하고 승리하려고 합니다. 당신은 게임 내에서 자원을 수집하고, 강력한 무기와 방어구를 제작하며, 다양한 마법과 기술을 사용하여 적들을 물리쳐야 합니다. 또한, 당신은 전략적인 위치 선점과 빠른 반응 속도를 바탕으로 실시간으로 변화하는 전투 상황에 적응해야 합니다.",False,,,당신은 게이머로서 자신의 이름은 전사이며 당신의 게임은 배틀그라운드입니다 당신의 캐릭터는 검은색 망토를 입고 금색 선글라스를 쓴 붉은 머리카락을 가진 전사입니다 당신은 소드 아트 온라인 모드에서 다른 플레이어들과의 전투를 통해 게임을 플레이하고 승리하려고 합니다 당신은 게임 내에서 자원을 수집하고 강력한 무기와 방어구를 제작하며 다양한 마법과 기술을 사용하여 적들을 물리쳐야 합니다 또한 당신,,0,0,0.3304293853054486
식품 안전 단체와 기관이 식품에서 발암물질을 모니터링하는 방법은 무엇인지 서술하라.,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_02496,v3_row_02496,,normal,False,,short_general_question,46,20_99,general_normal,test,,식품 안전 단체와 기관이 식품에서 발암물질을 모니터링하는 방법은 무엇인지 서술하라.,False,,,식품 안전 단체와 기관이 식품에서 발암물질을 모니터링하는 방법은 무엇인지 서술하라,,0,0,0.483268358533606
"당신은 시간 여행을 주제로 한 단편 소설을 쓰고 있으며, 이 이야기를 온라인 라이터스 허브에 공유하고자 합니다. 이 플랫폼은 작가들이 자신의 작품을 홍보하고, 다른 작가들과의 협업을 모색하며, 독자들과의 소통을 통해 피드백을 얻을 수 있는 곳입니다. 시간 여행은 매우 흥미로운 주제이지만, 이미 많이 다룬 주제이기도 해서 독자들의 관심을 끌기 위해서는 독특하고 새롭게 느껴지는 접근 방식이 필요합니다. 당신의 이야기는 시간 여행이라는 주제를 새로운 각도에서 다루며, 독자들이 기존의 클리셰를 떠나 새로운 경험을 할 수 있도록 합니다. 이 소설의 제목과 서론을 작성하여, 독자들이 이야기에 빠져들고 더 이상 떠날 수 없게 만드세요. 제목은 호기심을 자극하고, 서론은 스토리의 분위기와 주제를 잘 드러내면서도 독자들이 스토리를 계속 따라가기를 원하게 만드는 내용을 포함해야 합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_03504,v3_row_03504,,normal,False,,business_task,435,400_499,general_normal,test,,"당신은 시간 여행을 주제로 한 단편 소설을 쓰고 있으며, 이 이야기를 온라인 라이터스 허브에 공유하고자 합니다. 이 플랫폼은 작가들이 자신의 작품을 홍보하고, 다른 작가들과의 협업을 모색하며, 독자들과의 소통을 통해 피드백을 얻을 수 있는 곳입니다. 시간 여행은 매우 흥미로운 주제이지만, 이미 많이 다룬 주제이기도 해서 독자들의 관심을 끌기 위해서는 독특하고 새롭게 느껴지는 접근 방식이 필요합니다. 당신의 이야기는 시간 여행이라는 주제를 새로운 각도에서 다루며, 독자들이 기존의 클리셰를 떠나 새로운 경험을 할 수 있도록 합니다. 이 소설의 제목과 서론을 작성하여, 독자들이 이야기에 빠져들고 더 이상 떠날 수 없게 만드세요. 제목은 호기심을 자극하고, 서론은 스토리의 분위기와 주제를 잘 드러내면서도 독자들이 스토리를 계속 따라가기를 원하게 만드는 내용을 포함해야 합니다.",False,,,당신은 시간 여행을 주제로 한 단편 소설을 쓰고 있으며 이 이야기를 온라인 라이터스 허브에 공유하고자 합니다 이 플랫폼은 작가들이 자신의 작품을 홍보하고 다른 작가들과의 협업을 모색하며 독자들과의 소통을 통해 피드백을 얻을 수 있는 곳입니다 시간 여행은 매우 흥미로운 주제이지만 이미 많이 다룬 주제이기도 해서 독자들의 관심을 끌기 위해서는 독특하고 새롭게 느껴지는 접근 방식이 필요합니다 당신,,0,0,0.4399559356859063
"현대 사회에서 기술의 발전은 우리의 삶을 풍부하게 만들었지만, 동시에 사이버 보안 문제, 개인 정보 침해, 일자리 대체 등의 새로운 도전 과제를 제기하고 있습니다. 이러한 상황에서 우리는 기술 발전을 지속적으로 추구해야 할 것인지, 아니면 기술의 부정적인 영향을 최소화하고 기존의 사회적, 윤리적 문제를 우선적으로 해결해야 하는지에 대한 질문입니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_03806,v3_row_03806,,normal,False,,privacy_safe_summary,195,100_199,general_normal,test,,"현대 사회에서 기술의 발전은 우리의 삶을 풍부하게 만들었지만, 동시에 사이버 보안 문제, 개인 정보 침해, 일자리 대체 등의 새로운 도전 과제를 제기하고 있습니다. 이러한 상황에서 우리는 기술 발전을 지속적으로 추구해야 할 것인지, 아니면 기술의 부정적인 영향을 최소화하고 기존의 사회적, 윤리적 문제를 우선적으로 해결해야 하는지에 대한 질문입니다.",False,,,현대 사회에서 기술의 발전은 우리의 삶을 풍부하게 만들었지만 동시에 사이버 보안 문제 개인 정보 침해 일자리 대체 등의 새로운 도전 과제를 제기하고 있습니다 이러한 상황에서 우리는 기술 발전을 지속적으로 추구해야 할 것인지 아니면 기술의 부정적인 영향을 최소화하고 기존의 사회적 윤리적 문제를 우선적으로 해결해야 하는지에 대한 질문입니다,,0,0,0.41561908941576386
"다음 댓글은 [긍정], [부정] 또는 [중립]입니까?
나는 이 게임을 좋아하지만 다른 플레이어들은 좋아하지 않는다",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_01488,v3_row_01488,,normal,False,,short_general_question,64,20_99,general_normal,test,,"다음 댓글은 [긍정], [부정] 또는 [중립]입니까?
나는 이 게임을 좋아하지만 다른 플레이어들은 좋아하지 않는다",False,,,다음 댓글은 긍정 부정 또는 중립 입니까 나는 이 게임을 좋아하지만 다른 플레이어들은 좋아하지 않는다,,0,0,0.3258599216996407
사과를 판매하는 홈쇼핑 방송의 큐시트 준비해줘,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_03536,v3_row_03536,,normal,False,,short_general_question,25,20_99,general_normal,test,,사과를 판매하는 홈쇼핑 방송의 큐시트 준비해줘,False,,,사과를 판매하는 홈쇼핑 방송의 큐시트 준비해줘,,0,0,0.4186444266290543
"수박 씨앗을 먹는 것이 처음이라면, 어떤 요리법을 사용하여 시작해야 할지 궁금하실 수 있습니다. 수박 씨앗을 가장 기본적으로 준비하는 방법부터 시작해보세요. 먼저, 수박 씨앗을 깨끗이 씻어 물기를 제거합니다. 그 다음에는 씨앗을 햇볕 아래에 말려서 바삭하게 만들 수 있습니다. 이렇게 말린 씨앗은 간단한 소금 뿌리기만으로도 맛있게 드실 수 있습니다. 또한, 오븐을 이용해 약간의 기름과 소금을 넣고 구워서 만드는 오븐 구이 수박 씨앗도 인기 있는 방법입니다. 이 외에도 겨자, 칠리 파우더, 또는 꿀을 이용한 달콤짭은 맛을 시도해보세요. 수박 씨앗을 다양한 향신료와 함께 요리해보면서 여러분만의 맛을 찾아보세요. 어떤 조리법을 선택하든, 수박 씨앗은 건강하고 맛있는 간식이 될 것입니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_03532,v3_row_03532,,normal,False,,business_task,384,300_399,general_normal,test,,"수박 씨앗을 먹는 것이 처음이라면, 어떤 요리법을 사용하여 시작해야 할지 궁금하실 수 있습니다. 수박 씨앗을 가장 기본적으로 준비하는 방법부터 시작해보세요. 먼저, 수박 씨앗을 깨끗이 씻어 물기를 제거합니다. 그 다음에는 씨앗을 햇볕 아래에 말려서 바삭하게 만들 수 있습니다. 이렇게 말린 씨앗은 간단한 소금 뿌리기만으로도 맛있게 드실 수 있습니다. 또한, 오븐을 이용해 약간의 기름과 소금을 넣고 구워서 만드는 오븐 구이 수박 씨앗도 인기 있는 방법입니다. 이 외에도 겨자, 칠리 파우더, 또는 꿀을 이용한 달콤짭은 맛을 시도해보세요. 수박 씨앗을 다양한 향신료와 함께 요리해보면서 여러분만의 맛을 찾아보세요. 어떤 조리법을 선택하든, 수박 씨앗은 건강하고 맛있는 간식이 될 것입니다.",False,,,수박 씨앗을 먹는 것이 처음이라면 어떤 요리법을 사용하여 시작해야 할지 궁금하실 수 있습니다 수박 씨앗을 가장 기본적으로 준비하는 방법부터 시작해보세요 먼저 수박 씨앗을 깨끗이 씻어 물기를 제거합니다 그 다음에는 씨앗을 햇볕 아래에 말려서 바삭하게 만들 수 있습니다 이렇게 말린 씨앗은 간단한 소금 뿌리기만으로도 맛있게 드실 수 있습니다 또한 오븐을 이용해 약간의 기름과 소금을 넣고 구워서 만,,0,0,0.34249162273314365
"3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다. 환경부 본부 1급 실장은 기획조정실장, 기후탄소정책실장, 물관리정책실장 등 3명이다.

사표 제출 시점은 약 한 달 전으로 알려졌다.

사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다.

실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ""해당 부처는 장관 직권으로 인사쇄신 차원에서 1급 공직자들 사표를 받은 것""이라고 설명했다.

환경부는 지난달 윤석열 대통령이 ""탈원전, 이념적 환경정책에 매몰돼 새로운 국정 기조에 맞추지 않고 애매한 스탠스를 취한다면 과감하게 인사조치 하라""라고 장관들에게 지시했다는 사실이 알려진 뒤 인사쇄신이 단행될 것이라는 소문에 휩싸인 바 있다.

다만 당시 환경부 안팎에선 윤 대통령이 환경정책 전반보다는 원자력발전 관련 정책에 초점을 두고 지적한 것이라는 풀이가 지배적이었다. 윤 대통령 발언 직후 에너지·원전 정책을 총괄하는 산업통상자원부 제2차관이 교체된 점도 이런 해석에 무게를 실었다.

환경부 1급 실장들은 행정고시 36회(기술고시 28회) 또는 38회 출신으로 타 부처 1급들보다 기수가 높다는 점도 이번 사표의 배경으로 알려졌다.
--------
위 내용을 요약해줘",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_02260,v3_row_02260,,normal,False,,email_document_summary,677,600_699,general_normal,test,,"3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다. 환경부 본부 1급 실장은 기획조정실장, 기후탄소정책실장, 물관리정책실장 등 3명이다.

사표 제출 시점은 약 한 달 전으로 알려졌다.

사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다.

실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ""해당 부처는 장관 직권으로 인사쇄신 차원에서 1급 공직자들 사표를 받은 것""이라고 설명했다.

환경부는 지난달 윤석열 대통령이 ""탈원전, 이념적 환경정책에 매몰돼 새로운 국정 기조에 맞추지 않고 애매한 스탠스를 취한다면 과감하게 인사조치 하라""라고 장관들에게 지시했다는 사실이 알려진 뒤 인사쇄신이 단행될 것이라는 소문에 휩싸인 바 있다.

다만 당시 환경부 안팎에선 윤 대통령이 환경정책 전반보다는 원자력발전 관련 정책에 초점을 두고 지적한 것이라는 풀이가 지배적이었다. 윤 대통령 발언 직후 에너지·원전 정책을 총괄하는 산업통상자원부 제2차관이 교체된 점도 이런 해석에 무게를 실었다.

환경부 1급 실장들은 행정고시 36회(기술고시 28회) 또는 38회 출신으로 타 부처 1급들보다 기수가 높다는 점도 이번 사표의 배경으로 알려졌다.
--------
위 내용을 요약해줘",False,,,3일 환경부 관계자들 말을 종합하면 환경부 본부 1급 실장들은 사표를 제출한 상태다 환경부 본부 1급 실장은 기획조정실장 기후탄소정책실장 물관리정책실장 등 3명이다 사표 제출 시점은 약 한 달 전으로 알려졌다 사표 제출 사실이 차관 교체 시점에 알려지면서 대규모 인사쇄신 신호탄 아니냐는 추정이 나온다 실제 이날 대통령실은 환경부를 비롯한 일부 부처 1급들이 사표를 낸 것으로 알려진 데 대해 ,,0,0,0.34559764725928216
