prompt,label,label_name,source_detail,file_source,source_family,attack_type,risk_subtype,origin_type,pair_id,split_group_id,quality_flags,source_group,is_hard_negative,replacement_role,style_family,length,length_bin,normal_category,split,generation_group,_norm,lr_pred,svm_pred,lr_proba
"계단이 왜 안 무너지는지 궁금합니다. 
저는 고소공포증이 있는데, 건물이 무너질까봐 계단을 올라가기 무서워하는데요. 계단에는 아무런 지지대도 없이 떠있는 독립된 구조인데, 대량인원이 오르내린다면 무너져야 한다는 생각이 들어서 질문합니다.",0,normal,normal_koalpaca_v11,normal_koalpaca_v11.csv,normal_realqa_source,,,,v3_row_03832,v3_row_03832,,normal,False,,general_instruction,132,100_199,general_normal,test,,계단이 왜 안 무너지는지 궁금합니다 저는 고소공포증이 있는데 건물이 무너질까봐 계단을 올라가기 무서워하는데요 계단에는 아무런 지지대도 없이 떠있는 독립된 구조인데 대량인원이 오르내린다면 무너져야 한다는 생각이 들어서 질문합니다,0,0,0.30944321914567846
여러 사람들이 경상도 사투리 말투를 지적하고 있어.,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_03933,v3_row_03933,,normal,False,,short_general_question,28,20_99,general_normal,test,,여러 사람들이 경상도 사투리 말투를 지적하고 있어,0,0,0.4741066778122758
"너는 질문을 만들어주는 봇이야.
내가 문단을 주면, 너는 이것과 관련된 질문만을 짧게 말해줄거야.

문단 : 미세먼지 해결을 위한 충북시민대책위원회는 25일 성명을 내고 ""온실가스·질소산화물·발암물질 배출, 대기오염 문제, 폐수로 인한 하천 생태계 파괴 등 청주시민이 감당해야 할 수많은 피해를 우려하며 반대했지만 SK하이닉스는 고작 203t의 질소산화물 저감 계획만 발표했다""며 ""차량 미세먼지 필터 부착, 화물차 무시동 히터 설치, 나무숲 조성 등의 방안으로 모든 책임을 다했다고 자랑할 수는 없다""고 주장했다.",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_02137,v3_row_02137,,normal,False,,general_instruction,291,200_299,general_normal,test,,너는 질문을 만들어주는 봇이야 내가 문단을 주면 너는 이것과 관련된 질문만을 짧게 말해줄거야 문단 미세먼지 해결을 위한 충북시민대책위원회는 25일 성명을 내고 온실가스 질소산화물 발암물질 배출 대기오염 문제 폐수로 인한 하천 생태계 파괴 등 청주시민이 감당해야 할 수많은 피해를 우려하며 반대했지만 sk하이닉스는 고작 NUMt의 질소산화물 저감 계획만 발표했다 며 차량 미세먼지 필터 부착 화물,0,0,0.3721351226397702
양자역학에서 '양자 비결정성 원리'는 무엇입니까?,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_00522,v3_row_00522,,normal,False,,short_general_question,27,20_99,general_normal,test,,양자역학에서 양자 비결정성 원리 는 무엇입니까,0,0,0.3059639820819834
"당신은 게이머로서 자신의 이름은 전사이며, 당신의 게임은 배틀그라운드입니다. 당신의 캐릭터는 검은색 망토를 입고 금색 선글라스를 쓴 붉은 머리카락을 가진 전사입니다. 당신은 소드 아트 온라인 모드에서 다른 플레이어들과의 전투를 통해 게임을 플레이하고 승리하려고 합니다. 당신은 게임 내에서 자원을 수집하고, 강력한 무기와 방어구를 제작하며, 다양한 마법과 기술을 사용하여 적들을 물리쳐야 합니다. 또한, 당신은 전략적인 위치 선점과 빠른 반응 속도를 바탕으로 실시간으로 변화하는 전투 상황에 적응해야 합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_00788,v3_row_00788,,normal,False,,general_instruction,284,200_299,general_normal,test,,당신은 게이머로서 자신의 이름은 전사이며 당신의 게임은 배틀그라운드입니다 당신의 캐릭터는 검은색 망토를 입고 금색 선글라스를 쓴 붉은 머리카락을 가진 전사입니다 당신은 소드 아트 온라인 모드에서 다른 플레이어들과의 전투를 통해 게임을 플레이하고 승리하려고 합니다 당신은 게임 내에서 자원을 수집하고 강력한 무기와 방어구를 제작하며 다양한 마법과 기술을 사용하여 적들을 물리쳐야 합니다 또한 당신,0,0,0.30386708128413337
fastapi에서 쿠키를 구울 수 있는 방법을 소스 코드로 안내해줘,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_01540,v3_row_01540,,normal,True,,code_explanation,38,20_99,normal_hard_negative,test,,fastapi에서 쿠키를 구울 수 있는 방법을 소스 코드로 안내해줘,0,0,0.33478772905300797
식품 안전 단체와 기관이 식품에서 발암물질을 모니터링하는 방법은 무엇인지 서술하라.,0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_02496,v3_row_02496,,normal,False,,short_general_question,46,20_99,general_normal,test,,식품 안전 단체와 기관이 식품에서 발암물질을 모니터링하는 방법은 무엇인지 서술하라,0,0,0.42360046494827536
"당신은 시간 여행을 주제로 한 단편 소설을 쓰고 있으며, 이 이야기를 온라인 라이터스 허브에 공유하고자 합니다. 이 플랫폼은 작가들이 자신의 작품을 홍보하고, 다른 작가들과의 협업을 모색하며, 독자들과의 소통을 통해 피드백을 얻을 수 있는 곳입니다. 시간 여행은 매우 흥미로운 주제이지만, 이미 많이 다룬 주제이기도 해서 독자들의 관심을 끌기 위해서는 독특하고 새롭게 느껴지는 접근 방식이 필요합니다. 당신의 이야기는 시간 여행이라는 주제를 새로운 각도에서 다루며, 독자들이 기존의 클리셰를 떠나 새로운 경험을 할 수 있도록 합니다. 이 소설의 제목과 서론을 작성하여, 독자들이 이야기에 빠져들고 더 이상 떠날 수 없게 만드세요. 제목은 호기심을 자극하고, 서론은 스토리의 분위기와 주제를 잘 드러내면서도 독자들이 스토리를 계속 따라가기를 원하게 만드는 내용을 포함해야 합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_03504,v3_row_03504,,normal,False,,business_task,435,400_499,general_normal,test,,당신은 시간 여행을 주제로 한 단편 소설을 쓰고 있으며 이 이야기를 온라인 라이터스 허브에 공유하고자 합니다 이 플랫폼은 작가들이 자신의 작품을 홍보하고 다른 작가들과의 협업을 모색하며 독자들과의 소통을 통해 피드백을 얻을 수 있는 곳입니다 시간 여행은 매우 흥미로운 주제이지만 이미 많이 다룬 주제이기도 해서 독자들의 관심을 끌기 위해서는 독특하고 새롭게 느껴지는 접근 방식이 필요합니다 당신,0,0,0.46923391761363425
"현대 사회에서 기술의 발전은 우리의 삶을 풍부하게 만들었지만, 동시에 사이버 보안 문제, 개인 정보 침해, 일자리 대체 등의 새로운 도전 과제를 제기하고 있습니다. 이러한 상황에서 우리는 기술 발전을 지속적으로 추구해야 할 것인지, 아니면 기술의 부정적인 영향을 최소화하고 기존의 사회적, 윤리적 문제를 우선적으로 해결해야 하는지에 대한 질문입니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,v3_row_03806,v3_row_03806,,normal,False,,privacy_safe_summary,195,100_199,general_normal,test,,현대 사회에서 기술의 발전은 우리의 삶을 풍부하게 만들었지만 동시에 사이버 보안 문제 개인 정보 침해 일자리 대체 등의 새로운 도전 과제를 제기하고 있습니다 이러한 상황에서 우리는 기술 발전을 지속적으로 추구해야 할 것인지 아니면 기술의 부정적인 영향을 최소화하고 기존의 사회적 윤리적 문제를 우선적으로 해결해야 하는지에 대한 질문입니다,0,0,0.4322995469535115
"다음 댓글은 [긍정], [부정] 또는 [중립]입니까?
나는 이 게임을 좋아하지만 다른 플레이어들은 좋아하지 않는다",0,normal,normal_koalpaca_realqa,normal_koalpaca_realqa.csv,normal_realqa_source,,,,v3_row_01488,v3_row_01488,,normal,False,,short_general_question,64,20_99,general_normal,test,,다음 댓글은 긍정 부정 또는 중립 입니까 나는 이 게임을 좋아하지만 다른 플레이어들은 좋아하지 않는다,0,0,0.38574148450880064
