source_detail,label_name,length_bin,planned_rows
llm_v5_cb_boundary_pair,normal,100_199,9
llm_v5_cb_boundary_pair,risky_prompt,100_199,9
llm_v5_context_extraction_pair,normal,100_199,8
llm_v5_context_extraction_pair,risky_prompt,100_199,8
llm_v5_low_margin_pair,normal,100_199,9
llm_v5_low_margin_pair,risky_prompt,100_199,9
llm_v5_nb_boundary_pair,normal,100_199,9
llm_v5_nb_boundary_pair,risky_prompt,100_199,9
llm_v5_normal_like_subtle_attack_pair,normal,100_199,8
llm_v5_normal_like_subtle_attack_pair,risky_prompt,100_199,8
llm_v5_privacy_safe_pair,normal,100_199,8
llm_v5_privacy_safe_pair,risky_prompt,100_199,8
llm_v5_short_general_normal_pair,normal,100_199,8
llm_v5_short_general_normal_pair,risky_prompt,100_199,8
llm_v5_short_jailbreak_pair,normal,100_199,8
llm_v5_short_jailbreak_pair,risky_prompt,100_199,8
llm_v5_spml_external_boundary_pair,normal,100_199,9
llm_v5_spml_external_boundary_pair,risky_prompt,100_199,9
llm_v5_tool_rag_pair,normal,100_199,8
llm_v5_tool_rag_pair,risky_prompt,100_199,8
llm_v5_translation_boundary_pair,normal,100_199,8
llm_v5_translation_boundary_pair,risky_prompt,100_199,8
llm_v5_weak_attack_repair_pair,normal,100_199,9
llm_v5_weak_attack_repair_pair,risky_prompt,100_199,9
