source_family,source_detail,count,pct
external_attack_pool,ALERT,982,3.93
external_attack_pool,CarrotAI/ko-instruction-dataset,28,0.11
external_attack_pool,Evolve-instruct,358,1.43
external_attack_pool,Gandalf-Ignore,50,0.2
external_attack_pool,JailBreakV-28k,142,0.57
external_attack_pool,RedBench,89,0.36
external_attack_pool,ToxicChat,1,0.0
external_attack_pool,WildGuardMix,411,1.64
external_attack_pool,WildJailbreak,226,0.9
external_attack_pool,beomi/KoAlpaca-RealQA,333,1.33
external_attack_pool,beomi/KoAlpaca-v1.1a,850,3.4
external_attack_pool,deepset-prompt-injections,11,0.04
external_attack_pool,jayavibhav-PI,1672,6.69
external_attack_pool,ko-evol-writing,33,0.13
external_attack_pool,safe-guard-PI,114,0.46
external_attack_pool,synthetic_broad_hard_negative/ai_safety_policy_explanation,48,0.19
external_attack_pool,synthetic_broad_hard_negative/fiction_ethics_analysis,48,0.19
external_attack_pool,synthetic_broad_hard_negative/harm_prevention_campaign,43,0.17
external_attack_pool,synthetic_broad_hard_negative/legal_privacy_support,41,0.16
external_attack_pool,synthetic_broad_hard_negative/security_response_education,49,0.2
external_attack_pool,synthetic_broad_hard_negative/system_requirements_doc,54,0.22
external_attack_pool,synthetic_broad_hard_positive/multi_intent_injection,118,0.47
external_attack_pool,synthetic_broad_hard_positive/natural_policy_evasion,119,0.48
external_attack_pool,synthetic_broad_hard_positive/short_unsafe_request,134,0.54
external_attack_pool,synthetic_broad_hard_positive/subtle_indirect_injection,112,0.45
external_attack_pool,synthetic_broad_hard_positive/weak_signal_instruction_leak,121,0.48
external_attack_pool,synthetic_direct_byClaude_console,63,0.25
injection_guardrail_family,injection_guardrail,4500,18.0
llm_generated_pool,llm_generated_context_attack,1632,6.53
llm_generated_pool,llm_generated_diverse_attack,4057,16.23
llm_generated_pool,llm_generated_extra_attack,208,0.83
llm_generated_pool,llm_generated_fn_hard_positive,496,1.98
llm_generated_pool,llm_generated_policy_evasion,1195,4.78
llm_generated_pool,llm_generated_rag_attack,2835,11.34
llm_generated_pool,llm_generated_template_attack,961,3.84
llm_generated_pool,llm_generated_tool_attack,2010,8.04
spml_papago_family,neuralchemy__Prompt-injection-dataset,711,2.84
spml_papago_family,reshabhs__SPML_Chatbot_Prompt_Injection,145,0.58
