prompt,label,label_name,source_detail,file_source,source_family,attack_type,risk_subtype,origin_type,pair_id,split_group_id,quality_flags,source_group,is_hard_negative,replacement_role,style_family,length,length_bin,_filter_flags,_flag_str,normal_category
"산업혁명을 통해 발전한 기술들이 단순히 제조업의 효율성을 높이는 것을 넘어서, 인간의 생활 방식과 사회 전반에 걸쳐 광범위한 변화를 가져왔습니다. 이러한 변화 중 하나는 대량 생산과 표준화의 도입으로, 소비자 경제의 발전으로 이어졌습니다. 또한, 교통과 통신의 발전은 전 세계적인 연결성과 글로벌 시장의 형성에 기여했습니다. 이와 관련하여, 산업혁명 당시의 발명품들이 오늘날 우리가 살고 있는 사회에 미친 장기적인 영향을 분석하고, 그로 인해 발생한 긍정적이고 부정적인 측면들을 모두 고려하여 논의해 주세요. 최소한 다섯 가지 예를 들어, 그 발명품들이 오늘날 사회에 미치는 영향을 상세하게 설명해 주세요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,339,300_399,[],,general_normal
"현대 사회에서 환경 윤리(Environmental Ethics)가 중요한 이유는 무엇이며, 환경 윤리를 바탕으로 한 결정이 개인과 사회에 어떤 영향을 미칠 수 있는지 설명해 주세요. 또한, 환경 윤리와 관련된 한 가지 실제 사례를 들어, 이 이론이 어떻게 적용되었는지 구체적으로 분석해 보세요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,164,100_199,[],,general_normal
"헤지 추측의 중요성과 현재의 연구 상황을 고려하여, 이 추측이 해결되었을 때 수학 분야에 미칠 수 있는 영향에 대해 논의해 보세요. 또한, 헤지 추측과 관련된 다른 중요한 수학적 문제들을 언급하고, 이러한 문제들이 서로 어떻게 연결되어 있는지에 대해서도 설명해 주세요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,150,100_199,[],,general_normal
"당신은 한국의 유명한 마법사, 김해린입니다. 당신은 특히 어떤 상황에서도 빠르게 탈출하는 능력을 가지고 있으며, 이는 당신의 전문 분야입니다. 한국 전역에서 매체와 대중의 관심을 받고 있지만, 동시에 많은 비판과 의심을 받고 있습니다. 일부 회의주의자들과 다른 마법사들은 당신의 마법이 진짜인지 의심하며, 당신의 속임수를 밝히려는 시도를 하고 있습니다. 이러한 상황에서 당신은 어떻게 당신의 명성을 지키고, 동시에 마법의 신비로움을 유지할 것인가요?",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,251,200_299,[],,general_normal
"당신은 C++을 사용하여 간단한 버전 관리 시스템을 작성해야 합니다. 이 시스템은 다음과 같은 기능을 포함해야 합니다: - 파일 추적: 특정 디렉토리 내의 모든 파일을 추적하고 변경 사항을 감지합니다. - 커밋: 사용자가 명령어를 통해 파일의 변경 사항을 커밋할 수 있으며, 각 커밋에는 고유한 식별자, 작성자 정보, 커밋 메시지, 변경된 파일의 목록이 포함됩니다. - 로그: 시스템은 커밋 로그를 출력하며, 각 커밋의 식별자, 작성자, 날짜, 메시지를 포함한 정보를 보여줍니다. - 롤백: 사용자가 이전 커밋으로 파일을 롤백할 수 있으며, 파일의 내용이 해당 커밋의 상태로 복원됩니다. - 상태 확인: 시스템은 현재 작업 디렉토리의 상태를 확인하고, 변경된 파일과 추적되지 않는 새로운 파일을 보여줍니다. 이 시스템을 구현할 때, 사용자가 쉽게 사용할 수 있도록 명령줄 인터페이스(CLI)를 설계해야 합니다. 예를 들어, `vms commit -m ""Initial commit""` 또는 `vms rollback -c `와 같은 명령어를 통해 사용자가 시스템을 조작할 수 있도록 해야 합니다. 또한, 시스템의 안정성을 위해 파일 변경 감지 알고리즘은 효율적이고, 커밋 데이터는 안전하게 저장되어야 합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,618,600_699,[],,general_normal
"""def check_even(num) if num % 2 == 0 return true else return false end end 3.times do |i| puts check_even(i) # 예상 출력: false, true, false end 위 코드는 왜 예상치 못한 결과를 출력하나요?""",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,167,100_199,[],,general_normal
한국의 수학자 이문하는 당이야마-시무라 추측에 대해 연구하고 있습니다. 이 추측은 합리수 위에 있는 타원 곡선이 모듈 j-불변 아래에서 모듈 형식의 역상임을 주장합니다. 이문하 수학자는 이 추측을 증명하거나 반증할 수 있는 방법을 찾고 있습니다. 이문하 수학자가 이 문제를 해결할 수 있을까요? 그의 접근 방식은 무엇인가요? 그리고 이 추측이 수학의 어떤 분야에 영향을 미칠 수 있는지에 대해 논의해 주세요.,0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,228,200_299,[],,general_normal
"함수 h(x) = x^3 - 9x + 5가 주어졌을 때, 이 함수가 구간 [-3,5]에서 절대 최대값과 절대 최소값을 가지는 x의 값을 찾아라. 그리고 다음 단계로, 이 함수가 x축과 몇 개의 교점을 가지는지, 그리고 그 교점들이 어떤 x의 값에 해당하는지를 추론하라. 마지막으로, 이 함수가 주어진 구간에서 어떤 형태의 그래프를 가지는지(예: U자 모양, 마운틴 모양 등)에 대한 설명도 포함하라.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,223,200_299,[],,general_normal
"정수 배열 ages와 서로 다른 양의 정수로 구성된 배열 weights가 주어집니다. 두 배열의 길이는 모두 n입니다. 각 인덱스 i에 대해 ages[i]와 weights[i]는 i번째 사람의 나이와 몸무게를 나타냅니다. 사람들의 나이에 따라 오름차순으로 정렬된 몸무게 배열을 반환하세요. 만약 나이가 같은 사람들이 있다면, 그 중에서도 몸무게가 가벼운 사람부터 정렬하세요. 예제 1: 입력: ages = [25, 30, 20], weights = [60, 75, 55] 출력: [55, 60, 75] 설명: 20세의 사람이 가장 젊고 몸무게가 55kg이므로 첫 번째로 위치합니다. 그 다음 25세의 사람이 몸무게가 60kg이므로 두 번째로 위치하고, 마지막으로 30세의 사람이 몸무게가 75kg이므로 세 번째로 위치합니다.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,405,400_499,[],,general_normal
"고강도 간격 훈련(HIIT)의 다양한 측면에서의 효과를 평가하고자 합니다. HIIT가 가지는 잠재적인 이점과 위험을 상세히 분석하고, 이를 전통적인 유산소 운동(예: 조깅, 사이클링, 수영)과 비교 분석하시오. HIIT 프로그램의 구성 요소와 실제 운동 예시를 제시하고, 이러한 운동이 인간의 신체적, 정신적 성능 향상, 장기적인 건강 유지 및 질병 예방에 어떻게 기여하는지 심층적으로 설명해 주세요. 또한, HIIT가 다른 유산소 운동에 비해 어떤 독특한 장점이나 단점을 가지고 있는지, 그리고 이러한 특성이 특정 인구 집단이나 운동 목표에 어떻게 적용될 수 있는지에 대해서도 논의해 주세요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,332,300_399,[],,general_normal
"질문: 정수 n개를 포함하는 배열이 주어졌을 때, 여기서 n > 1이라고 가정할 때, output[i]가 nums[i]를 제외한 nums의 모든 요소의 곱과 같도록 하는 배열 output을 반환하는 함수를 작성해 주세요. 예를 들어, 입력이 [5,3,2,8]이라면 출력은 [96,256,480,120]이 됩니다. 이 문제를 해결하는 코드를 파이썬으로 작성해 주세요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,204,200_299,[],,general_normal
"최근에 스마트 워치를 구매했고, 그 기능과 사용 편의성에 매우 만족하고 있어요. 제가 긍정적인 경험을 바탕으로 다른 소비자들이 정보에 기반한 구매 결정을 내릴 수 있도록 제품 리뷰를 작성하고 싶어요. 제 리뷰에는 어떤 요소들을 포함시켜야 할까요? 어떤 특징을 강조해야 하며, 어떤 점수 시스템을 사용하는 것이 좋을까요? 리뷰를 통해 다른 사람들에게 제품에 대한 제 생각과 경험을 효과적으로 전달하고 싶어요.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,227,200_299,[],,general_normal
"어떤 상자가 수평한 바닥에 있을 때, 10 N의 힘이 상자를 밀어 5 m 움직였다고 가정해보자. 이때 힘의 방향이 상자의 이동 방향과 평행하다면, 상자에 얼마나 많은 일이 소모되는지 계산해서 설명해 줘. 또한, 만약 같은 힘이 상자를 밀어 3 m만 움직였다면, 그 때의 일 quantify에 대해서도 설명해 줘.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,174,100_199,[],,general_normal
"함수 h(x) = x^3 - 9x + 5가 주어졌을 때, 이 함수가 구간 [-3, 5]에서 취하는 절대 최대값과 절대 최소값을 찾기 위해 다음 단계를 수행하라. 1. 먼저, 함수 h(x)의 도함수 h'(x)를 구하라. 2. 도함수 h'(x)가 0이 되는 지점들을 찾아서 극값을 구하라. 3. 구한 극값 지점들과 구간의 끝점인 x = -3 및 x = 5를 포함하여 비교 대상으로 삼라. 4. 이 지점들에서 함수 h(x)의 값을 계산하여 절대 최대값과 절대 최소값을 결정하라. 5. 또한, 이 함수가 주어진 구간에서 극값을 갖는 x 값들이 어떤 값인지, 그리고 그 때의 h(x) 값들이 무엇인지 명확히 기술하라. 6. 마지막으로, 이 과정에서 얻은 결과를 바탕으로 함수 h(x)가 구간 [-3, 5]에서 절대 최대값과 절대 최소값을 취하는 이유를 설명하라. 이제 이 문제를 해결하기 위한 단계별 접근 방법을 제시했으므로, 이를 바탕으로 실제로 절대 최대값과 절대 최소값을 찾아보자.",0,normal,CarrotAI/ko-instruction-dataset,normal_carrotai_ko_instruction.csv,normal_instruction_source,,,synthetic_public,,,,normal,False,,,491,400_499,[],,general_normal
