source_detail,label_name,style_family,length_bin,planned_rows
llm_v9_artifact_light_replacement,risky_prompt,email_instruction,20_99,1
llm_v9_artifact_light_replacement,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_artifact_light_replacement,risky_prompt,tool_api,20_99,1
llm_v9_code_block_target_hardening,normal,business_task,100_199,4
llm_v9_code_block_target_hardening,normal,external_content_rag,100_199,3
llm_v9_code_block_target_hardening,normal,external_content_rag,20_99,1
llm_v9_code_block_target_hardening,normal,general_instruction,100_199,4
llm_v9_code_block_target_hardening,normal,normal_like_subtle_attack,100_199,2
llm_v9_code_block_target_hardening,normal,normal_like_subtle_attack,20_99,1
llm_v9_code_block_target_hardening,normal,privacy_safe_summary,100_199,3
llm_v9_code_block_target_hardening,normal,privacy_safe_summary,20_99,1
llm_v9_code_block_target_hardening,normal,roleplay_instruction,100_199,2
llm_v9_code_block_target_hardening,normal,roleplay_instruction,20_99,1
llm_v9_code_block_target_hardening,normal,short_general_question,100_199,3
llm_v9_code_block_target_hardening,normal,tool_api_instruction,100_199,4
llm_v9_code_block_target_hardening,risky_prompt,business_task,100_199,4
llm_v9_code_block_target_hardening,risky_prompt,external_content_rag,100_199,3
llm_v9_code_block_target_hardening,risky_prompt,external_content_rag,20_99,1
llm_v9_code_block_target_hardening,risky_prompt,general_instruction,100_199,4
llm_v9_code_block_target_hardening,risky_prompt,normal_like_subtle_attack,100_199,2
llm_v9_code_block_target_hardening,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_code_block_target_hardening,risky_prompt,privacy_safe_summary,100_199,3
llm_v9_code_block_target_hardening,risky_prompt,privacy_safe_summary,20_99,1
llm_v9_code_block_target_hardening,risky_prompt,roleplay_instruction,100_199,2
llm_v9_code_block_target_hardening,risky_prompt,roleplay_instruction,20_99,1
llm_v9_code_block_target_hardening,risky_prompt,short_general_question,100_199,2
llm_v9_code_block_target_hardening,risky_prompt,short_general_question,20_99,1
llm_v9_code_block_target_hardening,risky_prompt,tool_api_instruction,100_199,4
llm_v9_customer_support_target_hardening,normal,business_task,100_199,4
llm_v9_customer_support_target_hardening,normal,external_content_rag,100_199,3
llm_v9_customer_support_target_hardening,normal,external_content_rag,20_99,1
llm_v9_customer_support_target_hardening,normal,general_instruction,100_199,4
llm_v9_customer_support_target_hardening,normal,normal_like_subtle_attack,100_199,2
llm_v9_customer_support_target_hardening,normal,normal_like_subtle_attack,20_99,1
llm_v9_customer_support_target_hardening,normal,privacy_safe_summary,100_199,3
llm_v9_customer_support_target_hardening,normal,privacy_safe_summary,20_99,1
llm_v9_customer_support_target_hardening,normal,roleplay_instruction,100_199,2
llm_v9_customer_support_target_hardening,normal,roleplay_instruction,20_99,1
llm_v9_customer_support_target_hardening,normal,short_general_question,100_199,2
llm_v9_customer_support_target_hardening,normal,short_general_question,20_99,1
llm_v9_customer_support_target_hardening,normal,tool_api_instruction,100_199,4
llm_v9_customer_support_target_hardening,risky_prompt,business_task,100_199,4
llm_v9_customer_support_target_hardening,risky_prompt,external_content_rag,100_199,3
llm_v9_customer_support_target_hardening,risky_prompt,external_content_rag,20_99,1
llm_v9_customer_support_target_hardening,risky_prompt,general_instruction,100_199,4
llm_v9_customer_support_target_hardening,risky_prompt,normal_like_subtle_attack,100_199,2
llm_v9_customer_support_target_hardening,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_customer_support_target_hardening,risky_prompt,privacy_safe_summary,100_199,3
llm_v9_customer_support_target_hardening,risky_prompt,privacy_safe_summary,20_99,1
llm_v9_customer_support_target_hardening,risky_prompt,roleplay_instruction,100_199,2
llm_v9_customer_support_target_hardening,risky_prompt,roleplay_instruction,20_99,1
llm_v9_customer_support_target_hardening,risky_prompt,short_general_question,100_199,2
llm_v9_customer_support_target_hardening,risky_prompt,short_general_question,20_99,1
llm_v9_customer_support_target_hardening,risky_prompt,tool_api_instruction,100_199,4
llm_v9_email_instruction_target_hardening,normal,business_task,100_199,4
llm_v9_email_instruction_target_hardening,normal,external_content_rag,100_199,3
llm_v9_email_instruction_target_hardening,normal,external_content_rag,20_99,1
llm_v9_email_instruction_target_hardening,normal,general_instruction,100_199,4
llm_v9_email_instruction_target_hardening,normal,normal_like_subtle_attack,100_199,2
llm_v9_email_instruction_target_hardening,normal,normal_like_subtle_attack,20_99,1
llm_v9_email_instruction_target_hardening,normal,privacy_safe_summary,100_199,3
llm_v9_email_instruction_target_hardening,normal,privacy_safe_summary,20_99,1
llm_v9_email_instruction_target_hardening,normal,roleplay_instruction,100_199,2
llm_v9_email_instruction_target_hardening,normal,roleplay_instruction,20_99,1
llm_v9_email_instruction_target_hardening,normal,short_general_question,100_199,2
llm_v9_email_instruction_target_hardening,normal,short_general_question,20_99,1
llm_v9_email_instruction_target_hardening,normal,tool_api_instruction,100_199,4
llm_v9_email_instruction_target_hardening,risky_prompt,business_task,100_199,4
llm_v9_email_instruction_target_hardening,risky_prompt,external_content_rag,100_199,3
llm_v9_email_instruction_target_hardening,risky_prompt,external_content_rag,20_99,1
llm_v9_email_instruction_target_hardening,risky_prompt,general_instruction,100_199,4
llm_v9_email_instruction_target_hardening,risky_prompt,normal_like_subtle_attack,100_199,2
llm_v9_email_instruction_target_hardening,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_email_instruction_target_hardening,risky_prompt,privacy_safe_summary,100_199,3
llm_v9_email_instruction_target_hardening,risky_prompt,privacy_safe_summary,20_99,1
llm_v9_email_instruction_target_hardening,risky_prompt,roleplay_instruction,100_199,2
llm_v9_email_instruction_target_hardening,risky_prompt,roleplay_instruction,20_99,1
llm_v9_email_instruction_target_hardening,risky_prompt,short_general_question,100_199,2
llm_v9_email_instruction_target_hardening,risky_prompt,short_general_question,20_99,1
llm_v9_email_instruction_target_hardening,risky_prompt,tool_api_instruction,100_199,4
llm_v9_html_markdown_json_target_hardening,normal,business_task,100_199,4
llm_v9_html_markdown_json_target_hardening,normal,external_content_rag,100_199,3
llm_v9_html_markdown_json_target_hardening,normal,external_content_rag,20_99,1
llm_v9_html_markdown_json_target_hardening,normal,general_instruction,100_199,4
llm_v9_html_markdown_json_target_hardening,normal,normal_like_subtle_attack,100_199,2
llm_v9_html_markdown_json_target_hardening,normal,normal_like_subtle_attack,20_99,1
llm_v9_html_markdown_json_target_hardening,normal,privacy_safe_summary,100_199,4
llm_v9_html_markdown_json_target_hardening,normal,roleplay_instruction,100_199,3
llm_v9_html_markdown_json_target_hardening,normal,short_general_question,100_199,3
llm_v9_html_markdown_json_target_hardening,normal,tool_api_instruction,100_199,4
llm_v9_html_markdown_json_target_hardening,risky_prompt,business_task,100_199,4
llm_v9_html_markdown_json_target_hardening,risky_prompt,external_content_rag,100_199,3
llm_v9_html_markdown_json_target_hardening,risky_prompt,external_content_rag,20_99,1
llm_v9_html_markdown_json_target_hardening,risky_prompt,general_instruction,100_199,4
llm_v9_html_markdown_json_target_hardening,risky_prompt,normal_like_subtle_attack,100_199,2
llm_v9_html_markdown_json_target_hardening,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_html_markdown_json_target_hardening,risky_prompt,privacy_safe_summary,100_199,3
llm_v9_html_markdown_json_target_hardening,risky_prompt,privacy_safe_summary,20_99,1
llm_v9_html_markdown_json_target_hardening,risky_prompt,roleplay_instruction,100_199,2
llm_v9_html_markdown_json_target_hardening,risky_prompt,roleplay_instruction,20_99,1
llm_v9_html_markdown_json_target_hardening,risky_prompt,short_general_question,100_199,3
llm_v9_html_markdown_json_target_hardening,risky_prompt,tool_api_instruction,100_199,4
llm_v9_ko_en_mixed_target_hardening,normal,business_task,100_199,4
llm_v9_ko_en_mixed_target_hardening,normal,external_content_rag,100_199,3
llm_v9_ko_en_mixed_target_hardening,normal,external_content_rag,20_99,1
llm_v9_ko_en_mixed_target_hardening,normal,general_instruction,100_199,4
llm_v9_ko_en_mixed_target_hardening,normal,normal_like_subtle_attack,100_199,2
llm_v9_ko_en_mixed_target_hardening,normal,normal_like_subtle_attack,20_99,1
llm_v9_ko_en_mixed_target_hardening,normal,privacy_safe_summary,100_199,3
llm_v9_ko_en_mixed_target_hardening,normal,privacy_safe_summary,20_99,1
llm_v9_ko_en_mixed_target_hardening,normal,roleplay_instruction,100_199,2
llm_v9_ko_en_mixed_target_hardening,normal,roleplay_instruction,20_99,1
llm_v9_ko_en_mixed_target_hardening,normal,short_general_question,100_199,2
llm_v9_ko_en_mixed_target_hardening,normal,short_general_question,20_99,1
llm_v9_ko_en_mixed_target_hardening,normal,tool_api_instruction,100_199,4
llm_v9_ko_en_mixed_target_hardening,risky_prompt,business_task,100_199,4
llm_v9_ko_en_mixed_target_hardening,risky_prompt,external_content_rag,100_199,3
llm_v9_ko_en_mixed_target_hardening,risky_prompt,external_content_rag,20_99,1
llm_v9_ko_en_mixed_target_hardening,risky_prompt,general_instruction,100_199,4
llm_v9_ko_en_mixed_target_hardening,risky_prompt,normal_like_subtle_attack,100_199,2
llm_v9_ko_en_mixed_target_hardening,risky_prompt,normal_like_subtle_attack,20_99,1
llm_v9_ko_en_mixed_target_hardening,risky_prompt,privacy_safe_summary,100_199,3
llm_v9_ko_en_mixed_target_hardening,risky_prompt,privacy_safe_summary,20_99,1
llm_v9_ko_en_mixed_target_hardening,risky_prompt,roleplay_instruction,100_199,2
llm_v9_ko_en_mixed_target_hardening,risky_prompt,roleplay_instruction,20_99,1
