source_detail,label_name,count
ALERT,risky_prompt,318
CarrotAI/ko-instruction-dataset,normal,1527
CarrotAI/ko-instruction-dataset,risky_prompt,11
Evolve-instruct,risky_prompt,106
Gandalf-Ignore,risky_prompt,22
JailBreakV-28k,risky_prompt,47
RedBench,risky_prompt,34
WildGuardMix,risky_prompt,139
WildJailbreak,risky_prompt,71
beomi/KoAlpaca-RealQA,risky_prompt,117
beomi/KoAlpaca-v1.1a,risky_prompt,267
deepset-prompt-injections,risky_prompt,5
iknow-lab/ko-evol-writing-wiki,normal,680
injection_guardrail,risky_prompt,1608
jayavibhav-PI,risky_prompt,601
ko-evol-writing,risky_prompt,10
llm_v3_business_workflow_pair,normal,2110
llm_v3_business_workflow_pair,risky_prompt,2033
llm_v3_code_context_pair,normal,2088
llm_v3_code_context_pair,risky_prompt,2025
llm_v3_external_document_pair,normal,2092
llm_v3_external_document_pair,risky_prompt,2025
llm_v3_jailbreak_boundary_pair,normal,2101
llm_v3_jailbreak_boundary_pair,risky_prompt,2027
llm_v3_papago_safe_attack_support,risky_prompt,700
llm_v3_privacy_context_pair,normal,2107
llm_v3_privacy_context_pair,risky_prompt,2031
llm_v3_rag_boundary_pair,normal,2087
llm_v3_rag_boundary_pair,risky_prompt,2022
llm_v3_short_instruction_pair,normal,2087
llm_v3_short_instruction_pair,risky_prompt,2026
llm_v3_sns_safety_pair,normal,2100
llm_v3_sns_safety_pair,risky_prompt,2036
llm_v3_tool_boundary_pair,normal,2124
llm_v3_tool_boundary_pair,risky_prompt,2043
llm_v3_translation_boundary_pair,normal,2104
llm_v3_translation_boundary_pair,risky_prompt,2032
neuralchemy__Prompt-injection-dataset,risky_prompt,234
normal_koalpaca_realqa,normal,709
normal_koalpaca_v11,normal,1084
reshabhs__SPML_Chatbot_Prompt_Injection,risky_prompt,55
safe-guard-PI,risky_prompt,41
synthetic_broad_hard_negative/ai_safety_policy_explanation,risky_prompt,12
synthetic_broad_hard_negative/fiction_ethics_analysis,risky_prompt,14
synthetic_broad_hard_negative/harm_prevention_campaign,risky_prompt,16
synthetic_broad_hard_negative/legal_privacy_support,risky_prompt,12
synthetic_broad_hard_negative/security_response_education,risky_prompt,18
synthetic_broad_hard_negative/system_requirements_doc,risky_prompt,13
synthetic_broad_hard_positive/multi_intent_injection,risky_prompt,44
synthetic_broad_hard_positive/natural_policy_evasion,risky_prompt,42
synthetic_broad_hard_positive/short_unsafe_request,risky_prompt,38
synthetic_broad_hard_positive/subtle_indirect_injection,risky_prompt,39
synthetic_broad_hard_positive/weak_signal_instruction_leak,risky_prompt,47
synthetic_direct_byClaude_console,risky_prompt,19
