source_detail,label_name,count
ALERT,risky_prompt,272
CarrotAI/ko-instruction-dataset,normal,1521
CarrotAI/ko-instruction-dataset,risky_prompt,11
Evolve-instruct,risky_prompt,102
Gandalf-Ignore,risky_prompt,17
JailBreakV-28k,risky_prompt,45
RedBench,risky_prompt,29
WildGuardMix,risky_prompt,133
WildJailbreak,risky_prompt,67
beomi/KoAlpaca-RealQA,risky_prompt,101
beomi/KoAlpaca-v1.1a,risky_prompt,234
deepset-prompt-injections,risky_prompt,4
iknow-lab/ko-evol-writing-wiki,normal,680
injection_guardrail,risky_prompt,1570
jayavibhav-PI,risky_prompt,551
ko-evol-writing,risky_prompt,10
llm_v3_business_workflow_pair,normal,2098
llm_v3_business_workflow_pair,risky_prompt,2017
llm_v3_code_context_pair,normal,2070
llm_v3_code_context_pair,risky_prompt,2005
llm_v3_external_document_pair,normal,2082
llm_v3_external_document_pair,risky_prompt,2009
llm_v3_jailbreak_boundary_pair,normal,2085
llm_v3_jailbreak_boundary_pair,risky_prompt,2005
llm_v3_papago_safe_attack_support,risky_prompt,662
llm_v3_privacy_context_pair,normal,2092
llm_v3_privacy_context_pair,risky_prompt,2022
llm_v3_rag_boundary_pair,normal,2068
llm_v3_rag_boundary_pair,risky_prompt,2000
llm_v3_short_instruction_pair,normal,2067
llm_v3_short_instruction_pair,risky_prompt,2010
llm_v3_sns_safety_pair,normal,2086
llm_v3_sns_safety_pair,risky_prompt,2009
llm_v3_tool_boundary_pair,normal,2102
llm_v3_tool_boundary_pair,risky_prompt,2031
llm_v3_translation_boundary_pair,normal,2089
llm_v3_translation_boundary_pair,risky_prompt,2021
llm_v5_cb_boundary_pair,risky_prompt,20
llm_v5_context_extraction_pair,risky_prompt,18
llm_v5_low_margin_pair,risky_prompt,22
llm_v5_nb_boundary_pair,risky_prompt,21
llm_v5_normal_like_subtle_attack_pair,risky_prompt,20
llm_v5_privacy_safe_pair,risky_prompt,21
llm_v5_short_general_normal_pair,risky_prompt,21
llm_v5_short_jailbreak_pair,risky_prompt,21
llm_v5_spml_external_boundary_pair,risky_prompt,21
llm_v5_tool_rag_pair,risky_prompt,20
llm_v5_translation_boundary_pair,risky_prompt,21
llm_v5_weak_attack_repair_pair,normal,1
llm_v5_weak_attack_repair_pair,risky_prompt,21
llm_v6_boundary_guard_pair,normal,50
llm_v6_boundary_guard_pair,risky_prompt,50
llm_v6_length_balance_pair,normal,50
llm_v6_length_balance_pair,risky_prompt,50
llm_v6_low_margin_pair,normal,50
llm_v6_low_margin_pair,risky_prompt,50
llm_v6_residual_shortcut_pair,normal,50
llm_v6_residual_shortcut_pair,risky_prompt,50
llm_v6_style_length_counterpair,normal,50
llm_v6_style_length_counterpair,risky_prompt,50
neuralchemy__Prompt-injection-dataset,risky_prompt,205
normal_koalpaca_realqa,normal,679
normal_koalpaca_v11,normal,1030
reshabhs__SPML_Chatbot_Prompt_Injection,risky_prompt,45
safe-guard-PI,risky_prompt,32
synthetic_broad_hard_negative/ai_safety_policy_explanation,risky_prompt,10
synthetic_broad_hard_negative/fiction_ethics_analysis,risky_prompt,12
synthetic_broad_hard_negative/harm_prevention_campaign,risky_prompt,14
synthetic_broad_hard_negative/legal_privacy_support,risky_prompt,12
synthetic_broad_hard_negative/security_response_education,risky_prompt,15
synthetic_broad_hard_negative/system_requirements_doc,risky_prompt,13
synthetic_broad_hard_positive/multi_intent_injection,risky_prompt,39
synthetic_broad_hard_positive/natural_policy_evasion,risky_prompt,38
synthetic_broad_hard_positive/short_unsafe_request,risky_prompt,34
synthetic_broad_hard_positive/subtle_indirect_injection,risky_prompt,37
synthetic_broad_hard_positive/weak_signal_instruction_leak,risky_prompt,44
synthetic_direct_byClaude_console,risky_prompt,16
